fl.arg,fl.vd,value,se,x,Z
0.764705882,14,-0.78560287,1.278441844,10.70588235,-0.614500279
0.823529412,14,0.443169265,1.323333006,11.52941176,0.334888696
0.882352941,14,2.380955148,1.026095446,12.35294118,2.320403191
0.941176471,14,4.646669617,1.68792189,13.17647059,2.752893747
0,15,-0.845810306,0.295186456,0,-2.865342526
0.058823529,15,0.958956583,0.532269607,0.882352941,1.801636932
0.117647059,15,0.214258358,0.555377669,1.764705882,0.385788573
0.176470588,15,-0.095671984,0.485665065,2.647058824,-0.196991693
0.235294118,15,0.25110812,0.803228541,3.529411765,0.312623503
0.294117647,15,0.892055849,0.68731841,4.411764706,1.297878591
0.352941176,15,0.947344714,0.889341264,5.294117647,1.065220689
0.411764706,15,-0.599187117,0.65904432,6.176470588,-0.909175755
0.470588235,15,-0.198473648,0.909795699,7.058823529,-0.218151886
0.529411765,15,0.401506414,0.5817478,7.941176471,0.690172638
0.588235294,15,-0.025081783,1.008787385,8.823529412,-0.024863299
0.647058824,15,-0.712601609,1.175518152,9.705882353,-0.606202131
0.705882353,15,-1.087944706,1.438288842,10.58823529,-0.756416009
0.764705882,15,-0.781816988,1.19307313,11.47058824,-0.655296786
0.823529412,15,0.437774969,1.264326417,12.35294118,0.34625154
0.882352941,15,2.362304553,0.99270261,13.23529412,2.379669932
0.941176471,15,4.622019037,1.70094724,14.11764706,2.717320637
0,16,-0.845810306,0.295186456,0,-2.865342526
0.058823529,16,0.968304357,0.537967575,0.941176471,1.799930706
0.117647059,16,0.221112564,0.560463708,1.882352941,0.394517184
0.176470588,16,-0.091213079,0.490695902,2.823529412,-0.185885145
0.235294118,16,0.260501001,0.807406178,3.764705882,0.322639346
0.294117647,16,0.904562627,0.693902777,4.705882353,1.303586982
0.352941176,16,0.956625465,0.920031371,5.647058824,1.039774833
0.411764706,16,-0.535210615,0.712382866,6.588235294,-0.751296305
0.470588235,16,-0.167850113,0.934203975,7.529411765,-0.179671803
0.529411765,16,0.41597607,0.609459195,8.470588235,0.682533093
0.588235294,16,-0.008692837,0.98055251,9.411764706,-0.008865244
0.647058824,16,-0.69636249,1.114605034,10.35294118,-0.624761659
0.705882353,16,-1.074931987,1.386218513,11.29411765,-0.77544195
0.764705882,16,-0.775784069,1.121774696,12.23529412,-0.691568523
0.823529412,16,0.435550333,1.218191816,13.17647059,0.357538384
0.882352941,16,2.348064917,0.983200346,14.11764706,2.388185608
0.941176471,16,4.601084912,1.733061593,15.05882353,2.654888281
0,17,-0.845810306,0.295186456,0,-2.865342526
0.058823529,17,0.976349239,0.54289921,1,1.798398708
0.117647059,17,0.227430856,0.564788559,2,0.402683185
0.176470588,17,-0.086900979,0.495011394,3,-0.175553492
0.235294118,17,0.268946526,0.811082289,4,0.331589692
0.294117647,17,0.915503223,0.700558195,5,1.306819661
0.352941176,17,0.965274776,0.946591048,6,1.019737909
0.411764706,17,-0.480471441,0.759266873,7,-0.632809699
0.470588235,17,-0.140662277,0.958977415,8,-0.146679447
0.529411765,17,0.428540292,0.642095704,9,0.667408752
0.588235294,17,0.00593872,0.963055991,10,0.006166537
0.647058824,17,-0.681328342,1.066587002,11,-0.638793029
0.705882353,17,-1.062044681,1.341143879,12,-0.791894664
0.764705882,17,-0.767833461,1.060381754,13,-0.724110405
0.823529412,17,0.435841657,1.178937026,14,0.369690363
0.882352941,17,2.337598188,0.988205417,15,2.365498254
0.941176471,17,4.58303481,1.772049528,16,2.586290471
