B.1.arg,B.1.vd,value,se,x,z,,,
0.222222222,2.948,-1.632220018,1.017674498,0.655111111,0.976040587,,,
0.333333333,2.948,-2.671687924,1.125797142,0.982666667,0.85092925,,,
0.444444444,2.948,-4.070052653,1.369440307,1.310222222,0.682620752,,,
0.555555556,2.948,-5.827313646,1.844194004,1.637777778,0.471115161,,,
0.666666667,2.948,-7.943471791,2.575406424,1.965333333,0.216412371,,,
0.777777778,2.948,-10.41852807,3.550399665,2.292888889,-0.081487737,,,
0.888888889,2.948,-13.25248266,4.753997419,2.620444444,-0.422585184,,,
1,2.948,-16.44533495,6.176292621,2.948,-0.806879897,,,
0,3.0039,-0.629959235,0.876928548,0,1.096673641,,,
0.111111111,3.0039,-1.023041929,0.930149247,0.333766667,1.049361837,,,
0.222222222,3.0039,-1.768334368,1.0079046,0.667533333,0.959657736,,,
0.333333333,3.0039,-2.865841265,1.134189331,1.0013,0.827560771,,,
0.444444444,3.0039,-4.315566251,1.407167161,1.335066667,0.653070504,,,
0.555555556,3.0039,-6.117508794,1.907405795,1.668833333,0.436187,,,
0.666666667,3.0039,-8.271669681,2.653176561,2.0026,0.176910164,,,
0.777777778,3.0039,-10.77804989,3.633169445,2.336366667,-0.124760122,,,
0.888888889,3.0039,-13.63664962,4.834644945,2.670133333,-0.468823882,,,
1,3.0039,-16.8474683,6.24920534,3.0039,-0.855281047,,,
0,3.0598,-0.629959235,0.876928548,0,1.096673641,,,
0.111111111,3.0598,-1.091829699,0.920469009,0.339977778,1.041082476,,,
0.222222222,3.0598,-1.899475329,1.001204427,0.679955556,0.943873486,,,
0.333333333,3.0598,-3.052900572,1.147259915,1.019933333,0.805046136,,,
0.444444444,3.0598,-4.552109195,1.449101213,1.359911111,0.624599972,,,
0.555555556,3.0598,-6.397100697,1.973282776,1.699888889,0.402535055,,,
0.666666667,3.0598,-8.587875773,2.732660177,2.039866667,0.1388513,,,
0.777777778,3.0598,-11.12443538,3.717398105,2.379844444,-0.166451407,,,
0.888888889,3.0598,-14.00677976,4.916910555,2.719822222,-0.513373095,,,
1,3.0598,-17.23490838,6.324141152,3.0598,-0.901913701,,,
0,3.1157,-0.629959235,0.876928548,0,1.096673641,,,
0.111111111,3.1157,-1.158149172,0.911820266,0.346188889,1.033100202,,,
0.222222222,3.1157,-2.025910587,0.997316578,0.692377778,0.928655619,,,
0.333333333,3.1157,-3.233247675,1.164338566,1.038566667,0.783339388,,,
0.444444444,3.1157,-4.780164322,1.494284628,1.384755556,0.597151042,,,
0.555555556,3.1157,-6.666660067,2.040971285,1.730944444,0.370090635,,,
0.666666667,3.1157,-8.892735516,2.813165668,2.077133333,0.102158094,,,
0.777777778,3.1157,-11.45839161,3.802493413,2.423322222,-0.206646694,,,
0.888888889,3.1157,-14.36362862,5.000256579,2.769511111,-0.55632376,,,
1,3.1157,-17.60844604,6.400590486,3.1157,-0.946873046,,,
0,3.1716,-0.629959235,0.876928548,0,1.096673641,,,
0.111111111,3.1716,-1.222130859,0.904131247,0.3524,1.025399305,,,
0.222222222,3.1716,-2.14788896,0.99598713,0.7048,0.913974187,,,
0.333333333,3.1716,-3.407237486,1.184801396,1.0572,0.762397811,,,
0.444444444,3.1716,-5.000180431,1.541910313,1.4096,0.570669695,,,
0.555555556,3.1716,-6.926717378,2.109784944,1.762,0.338789891,,,
0.666666667,3.1716,-9.186848853,2.894137064,2.1144,0.066758335,,,
0.777777778,3.1716,-11.78057577,3.887969995,2.4668,-0.245425083,,,
0.888888889,3.1716,-14.70789844,5.084231961,2.8192,-0.5977604,,,
1,3.1716,-17.96881637,6.478116625,3.1716,-0.990247559,,,
0,3.2275,-0.629959235,0.876928548,0,1.096673641,,,
0.111111111,3.2275,-1.283896233,0.897334365,0.358611111,1.017965167,,,
0.222222222,3.2275,-2.265642025,0.996968834,0.717222222,0.899801317,,,
0.333333333,3.2275,-3.575200327,1.208080858,1.075833333,0.742181645,,,
0.444444444,3.2275,-5.212575227,1.59130815,1.434444444,0.545105657,,,
0.555555556,3.2275,-7.177766356,2.179176242,1.793055556,0.308573399,,,
0.666666667,3.2275,-9.470774164,2.975130205,2.151666667,0.032584817,,,
0.777777778,3.2275,-12.09159954,3.973432159,2.510277778,-0.282860198,,,
0.888888889,3.2275,-15.04024282,5.168459877,2.868888889,-0.637761684,,,
1,3.2275,-18.31670355,6.556346408,3.2275,-1.032119588,,,
