arg,vd,value,se,x,z,sd,z2
0.104166667,3,0.263330076,0.172270077,0.3125,0.162033324,0.943562072,-0.600564543
0.125,3,0.425766077,0.190058466,0.375,0.261984098,1.040993091,-0.388315664
0.145833333,3,0.135920262,0.19663747,0.4375,0.083635003,1.07702778,-0.644439959
0.166666667,3,-0.331741157,0.176103108,0.5,-0.204128306,0.964556447,-1.204430452
0.1875,3,-0.50273812,0.209284552,0.5625,-0.309346846,1.146298701,-1.16264471
0.208333333,3,-0.093537226,0.264880172,0.625,-0.057555703,1.450808452,-0.636567305
0.229166667,3,0.770813547,0.337038233,0.6875,0.474300098,1.84603443,-0.032061403
0.25,3,1.643358273,0.382826438,0.75,1.011197835,2.096826757,0.387899606
0.270833333,3,2.045205611,0.347303974,0.8125,1.258464158,1.902262209,0.638821297
0.291666667,3,1.744004473,0.270230553,0.875,1.07312786,1.480113696,0.617523151
0.3125,3,0.8554251,0.295814614,0.9375,0.52636362,1.620243369,0.015692149
0.333333333,3,-0.258143107,0.406728842,1,-0.158841657,2.227745616,-0.488450342
0.354166667,3,-1.19702784,0.488970364,1.0625,-0.736559994,2.678200983,-0.756861734
0.375,3,-1.716775614,0.523915632,1.125,-1.056373289,2.869604099,-0.887500689
0.395833333,3,-1.81692505,0.541892735,1.1875,-1.117997644,2.968068747,-0.891800452
0.416666667,3,-1.591048696,0.561329422,1.25,-0.979010495,3.074527866,-0.787453814
0.4375,3,-1.175554019,0.611930468,1.3125,-0.723346636,3.351681209,-0.598372546
0.458333333,3,-0.698693287,0.718794988,1.375,-0.429922769,3.937002291,-0.388288645
0.479166667,3,-0.249349111,0.86642319,1.4375,-0.1534305,4.745595255,-0.227442302
0.5,3,0.127064101,1.008695459,1.5,0.078185595,5.524852565,-0.127231612
0.520833333,3,0.416285948,1.10129269,1.5625,0.256150747,6.032028487,-0.068586223
0.541666667,3,0.619911109,1.123492274,1.625,0.381446201,6.153620617,-0.034140696
0.5625,3,0.745538246,1.090612044,1.6875,0.458747598,5.97352818,-0.014139341
0.583333333,3,0.803956245,1.054373698,1.75,0.494693596,5.775042584,-0.004509708
0.604166667,3,0.810480692,1.076421901,1.8125,0.498708246,5.895805566,-0.003310711
0.625,3,0.786545646,1.179277811,1.875,0.483980437,6.459170587,-0.006727544
0.645833333,3,0.758911548,1.338294308,1.9375,0.466976512,7.330139811,-0.009698103
0.666666667,3,0.755793986,1.525738236,2,0.465058201,8.356812487,-0.008879703
0.6875,3,0.800954226,1.735160007,2.0625,0.492846382,9.503862767,-0.003056207
0.708333333,3,0.908027893,1.969090964,2.125,0.558731382,10.78515539,0.007234749
0.729166667,3,1.077667764,2.218540422,2.1875,0.663114871,12.15144634,0.020381752
0.75,3,1.298868728,2.457532667,2.25,0.799225139,13.46046078,0.034833037
0.770833333,3,1.553771676,2.654512371,2.3125,0.956073049,14.53936305,0.04978015
0.791666667,3,1.823763526,2.788635634,2.375,1.122205522,15.27398641,0.065062486
0.8125,3,2.094252587,2.859998653,2.4375,1.288643941,15.66485777,0.080706292
